"customer_id";"first_name";"last_name";"email";"city";"country";"join_date";"customer_tier";"credit_score"
1;"First_1";"Last_1";"customer_1@email.com";"Ioannina";"Germany";"2021-04-06";"Silver";558
2;"First_2";"Last_2";"customer_2@email.com";"Heraklion";"Greece";"2019-02-01";"Bronze";497
3;"First_3";"Last_3";"customer_3@email.com";"Chania";"Greece";"2021-04-18";"Bronze";744
4;"First_4";"Last_4";"customer_4@email.com";"Larissa";"Greece";"2020-12-17";"Bronze";604
5;"First_5";"Last_5";"customer_5@email.com";"Ioannina";"Greece";"2022-02-12";"Platinum";638
6;"First_6";"Last_6";"customer_6@email.com";"Chalkida";"Italy";"2022-06-03";"Gold";828
7;"First_7";"Last_7";"customer_7@email.com";"Patras";"Greece";"2019-04-05";"Bronze";353
8;"First_8";"Last_8";"customer_8@email.com";"Ioannina";"UK";"2018-03-02";"Bronze";411
9;"First_9";"Last_9";"customer_9@email.com";"Chania";"Greece";"2019-01-04";"Bronze";718
10;"First_10";"Last_10";"customer_10@email.com";"Larissa";"Greece";"2021-02-18";"Silver";604
11;"First_11";"Last_11";"customer_11@email.com";"Heraklion";"Greece";"2019-12-20";"Silver";737
12;"First_12";"Last_12";"customer_12@email.com";"Chania";"Greece";"2019-06-30";"Bronze";384
13;"First_13";"Last_13";"customer_13@email.com";"Chania";"France";"2022-05-25";"Silver";823
14;"First_14";"Last_14";"customer_14@email.com";"Patras";"Greece";"2020-11-06";"Bronze";551
15;"First_15";"Last_15";"customer_15@email.com";"Volos";"Greece";"2019-05-11";"Gold";425
16;"First_16";"Last_16";"customer_16@email.com";"Larissa";"France";"2019-05-12";"Silver";704
17;"First_17";"Last_17";"customer_17@email.com";"Thessaloniki";"Greece";"2019-05-20";"Bronze";603
18;"First_18";"Last_18";"customer_18@email.com";"Chania";"Italy";"2022-04-05";"Silver";327
19;"First_19";"Last_19";"customer_19@email.com";"Volos";"Greece";"2020-08-26";"Gold";565
20;"First_20";"Last_20";"customer_20@email.com";"Thessaloniki";"Greece";"2021-08-31";"Bronze";351
21;"First_21";"Last_21";"customer_21@email.com";"Larissa";"Greece";"2020-12-28";"Bronze";810
22;"First_22";"Last_22";"customer_22@email.com";"Athens";"Greece";"2022-10-17";"Gold";506
23;"First_23";"Last_23";"customer_23@email.com";"Chalkida";"Greece";"2018-06-10";"Bronze";810
24;"First_24";"Last_24";"customer_24@email.com";"Volos";"Germany";"2022-06-26";"Bronze";500
