"employee_id";"first_name";"last_name";"department";"hire_date";"salary";"performance_score"
1;"EmpFirst_1";"EmpLast_1";"Marketing";"2022-08-27";34861;0.87
2;"EmpFirst_2";"EmpLast_2";"Finance";"2017-08-08";39826;0.737
3;"EmpFirst_3";"EmpLast_3";"Sales";"2016-09-27";29924;0.789
4;"EmpFirst_4";"EmpLast_4";"IT";"2022-11-21";68858;0.798
5;"EmpFirst_5";"EmpLast_5";"Marketing";"2017-09-30";27124;0.629
6;"EmpFirst_6";"EmpLast_6";"Operations";"2015-10-01";43100;0.999
7;"EmpFirst_7";"EmpLast_7";"Marketing";"2022-08-18";24756;0.868
8;"EmpFirst_8";"EmpLast_8";"Marketing";"2018-04-05";35243;0.73
9;"EmpFirst_9";"EmpLast_9";"HR";"2019-12-09";40929;0.67
10;"EmpFirst_10";"EmpLast_10";"Sales";"2017-01-05";44481;0.998
11;"EmpFirst_11";"EmpLast_11";"Operations";"2016-04-03";34813;0.637
12;"EmpFirst_12";"EmpLast_12";"Operations";"2015-09-05";42855;0.804
13;"EmpFirst_13";"EmpLast_13";"IT";"2019-08-25";34104;0.802
14;"EmpFirst_14";"EmpLast_14";"Finance";"2022-10-20";27253;0.771
15;"EmpFirst_15";"EmpLast_15";"IT";"2021-06-25";34060;0.794
16;"EmpFirst_16";"EmpLast_16";"IT";"2022-06-07";24594;0.557
17;"EmpFirst_17";"EmpLast_17";"IT";"2015-05-04";59577;0.893
18;"EmpFirst_18";"EmpLast_18";"HR";"2021-03-14";41282;0.611
19;"EmpFirst_19";"EmpLast_19";"Sales";"2017-10-29";35977;0.603
20;"EmpFirst_20";"EmpLast_20";"IT";"2017-02-26";38920;0.537
21;"EmpFirst_21";"EmpLast_21";"Operations";"2017-04-25";43621;0.986
22;"EmpFirst_22";"EmpLast_22";"Finance";"2019-10-30";41507;0.814
23;"EmpFirst_23";"EmpLast_23";"HR";"2018-04-16";37262;0.669
24;"EmpFirst_24";"EmpLast_24";"Operations";"2017-11-13";28699;0.617
25;"EmpFirst_25";"EmpLast_25";"Finance";"2015-03-03";32327;0.515
26;"EmpFirst_26";"EmpLast_26";"HR";"2020-12-22";20000;0.782
27;"EmpFirst_27";"EmpLast_27";"Sales";"2021-07-08";26622;0.64
28;"EmpFirst_28";"EmpLast_28";"IT";"2018-01-14";34996;0.931
29;"EmpFirst_29";"EmpLast_29";"Operations";"2018-05-13";31502;0.965
30;"EmpFirst_30";"EmpLast_30";"IT";"2016-03-16";20000;0.561
31;"EmpFirst_31";"EmpLast_31";"IT";"2015-06-22";30459;0.586
32;"EmpFirst_32";"EmpLast_32";"IT";"2021-11-28";35474;0.512
33;"EmpFirst_33";"EmpLast_33";"HR";"2018-01-03";40787;0.873
34;"EmpFirst_34";"EmpLast_34";"Operations";"2018-09-27";37110;0.582
35;"EmpFirst_35";"EmpLast_35";"Sales";"2022-03-10";48895;0.636
36;"EmpFirst_36";"EmpLast_36";"Operations";"2018-09-15";32499;0.548
37;"EmpFirst_37";"EmpLast_37";"Sales";"2017-06-02";20000;0.611
38;"EmpFirst_38";"EmpLast_38";"Finance";"2019-12-08";49379;0.758
39;"EmpFirst_39";"EmpLast_39";"Marketing";"2016-09-26";20000;0.725
40;"EmpFirst_40";"EmpLast_40";"Marketing";"2016-10-29";41196;0.886
41;"EmpFirst_41";"EmpLast_41";"Finance";"2016-01-14";50388;0.718
42;"EmpFirst_42";"EmpLast_42";"Finance";"2019-11-21";35289;0.522
43;"EmpFirst_43";"EmpLast_43";"HR";"2015-02-20";24572;0.832
44;"EmpFirst_44";"EmpLast_44";"HR";"2017-08-20";30158;0.586
45;"EmpFirst_45";"EmpLast_45";"Marketing";"2017-02-25";30921;0.617
46;"EmpFirst_46";"EmpLast_46";"Sales";"2020-10-13";30230;0.687
47;"EmpFirst_47";"EmpLast_47";"Finance";"2016-12-23";31089;0.764
48;"EmpFirst_48";"EmpLast_48";"HR";"2022-03-14";37466;0.885
49;"EmpFirst_49";"EmpLast_49";"Sales";"2022-08-19";37126;0.932
50;"EmpFirst_50";"EmpLast_50";"Marketing";"2015-03-06";27725;0.983
51;"EmpFirst_51";"EmpLast_51";"Operations";"2020-07-15";37651;0.909
52;"EmpFirst_52";"EmpLast_52";"Finance";"2016-10-10";56837;0.804
53;"EmpFirst_53";"EmpLast_53";"Sales";"2019-02-01";39158;0.863
54;"EmpFirst_54";"EmpLast_54";"IT";"2015-04-20";31047;0.951
55;"EmpFirst_55";"EmpLast_55";"HR";"2017-01-18";20000;0.561
56;"EmpFirst_56";"EmpLast_56";"HR";"2018-11-06";41475;0.684
57;"EmpFirst_57";"EmpLast_57";"Operations";"2016-09-01";42233;0.883
58;"EmpFirst_58";"EmpLast_58";"IT";"2016-07-09";47682;0.963
59;"EmpFirst_59";"EmpLast_59";"Sales";"2022-05-09";34802;0.562
60;"EmpFirst_60";"EmpLast_60";"Sales";"2018-06-24";35257;0.527
61;"EmpFirst_61";"EmpLast_61";"Sales";"2015-10-27";48411;0.955
62;"EmpFirst_62";"EmpLast_62";"Sales";"2020-12-18";29862;0.883
63;"EmpFirst_63";"EmpLast_63";"Marketing";"2021-02-20";31696;0.873
64;"EmpFirst_64";"EmpLast_64";"IT";"2017-01-18";35754;0.559
65;"EmpFirst_65";"EmpLast_65";"Sales";"2021-12-24";39618;0.784
66;"EmpFirst_66";"EmpLast_66";"Finance";"2015-11-12";45909;0.983
67;"EmpFirst_67";"EmpLast_67";"Marketing";"2022-02-05";33935;0.684
68;"EmpFirst_68";"EmpLast_68";"Finance";"2021-02-27";21217;0.976
69;"EmpFirst_69";"EmpLast_69";"Finance";"2018-12-05";50413;0.8
70;"EmpFirst_70";"EmpLast_70";"IT";"2019-02-21";23967;0.897
71;"EmpFirst_71";"EmpLast_71";"Finance";"2016-10-20";26165;0.729
72;"EmpFirst_72";"EmpLast_72";"Finance";"2018-03-25";39640;0.859
73;"EmpFirst_73";"EmpLast_73";"Marketing";"2019-03-09";46103;0.69
74;"EmpFirst_74";"EmpLast_74";"HR";"2016-08-17";32701;0.844
75;"EmpFirst_75";"EmpLast_75";"Finance";"2022-10-13";34957;0.615
76;"EmpFirst_76";"EmpLast_76";"Finance";"2019-09-07";45538;0.669
77;"EmpFirst_77";"EmpLast_77";"Operations";"2018-07-17";30430;0.995
78;"EmpFirst_78";"EmpLast_78";"Marketing";"2022-02-12";28364;0.848
79;"EmpFirst_79";"EmpLast_79";"HR";"2020-04-05";35806;0.846
80;"EmpFirst_80";"EmpLast_80";"Marketing";"2022-06-12";29312;0.894
81;"EmpFirst_81";"EmpLast_81";"Sales";"2021-05-03";27848;0.667
82;"EmpFirst_82";"EmpLast_82";"Sales";"2017-07-27";38802;0.923
83;"EmpFirst_83";"EmpLast_83";"HR";"2017-12-21";42755;0.957
84;"EmpFirst_84";"EmpLast_84";"HR";"2017-01-10";25638;0.623
85;"EmpFirst_85";"EmpLast_85";"Finance";"2017-10-28";36514;0.696
86;"EmpFirst_86";"EmpLast_86";"Finance";"2015-02-28";36210;0.945
87;"EmpFirst_87";"EmpLast_87";"Operations";"2020-05-12";44502;0.947
88;"EmpFirst_88";"EmpLast_88";"Sales";"2020-05-13";20000;0.574
89;"EmpFirst_89";"EmpLast_89";"Finance";"2018-09-23";33596;0.755
90;"EmpFirst_90";"EmpLast_90";"HR";"2022-07-05";28072;0.512
91;"EmpFirst_91";"EmpLast_91";"Marketing";"2016-11-28";20000;0.696
92;"EmpFirst_92";"EmpLast_92";"Sales";"2016-11-02";35610;0.833
93;"EmpFirst_93";"EmpLast_93";"Operations";"2022-10-17";33797;0.676
94;"EmpFirst_94";"EmpLast_94";"Sales";"2016-09-09";49965;0.62
95;"EmpFirst_95";"EmpLast_95";"Sales";"2015-07-26";28271;0.835
96;"EmpFirst_96";"EmpLast_96";"HR";"2015-06-17";38362;0.986
97;"EmpFirst_97";"EmpLast_97";"Marketing";"2022-07-27";41584;0.816
98;"EmpFirst_98";"EmpLast_98";"IT";"2020-07-22";34662;0.535
99;"EmpFirst_99";"EmpLast_99";"Marketing";"2019-12-25";41153;0.689
100;"EmpFirst_100";"EmpLast_100";"Operations";"2018-01-22";47672;0.964
